original_job,job_category,average_wage,salary_multiplier,reasoning
그 외 화학제품 생산기 조작원,장치·기계 조작 및 조립 종사자(8),4215000,1.0,"화학 배합 공정 조작원으로 유독 환경 노출 수당과 조작 평균 임금 간 매칭"
화학 연구원,전문가 및 관련종사자(2),5149000,1.3,"R&D 센터 석·박사급 기술 연구원으로 지적 자산 가치 및 수당 우대 반영"
전화 상담원,사무 종사자(3),4942000,0.7,"대고객 단순 전화 응대 및 콜센터 업무로 경질 사무직 중 최하위 구간에 배정"
데이터 분석가,전문가 및 관련종사자(2),5149000,1.2,"인공지능 및 빅데이터 마이닝 기술 인력으로 시장의 높은 인적 자원 수요 프리미엄 적용"
전자제품 개발 기술자 및 연구원,전문가 및 관련종사자(2),5149000,1.4,"글로벌 수출 전자 기업의 고설계 엔지니어로 연차 축적 및 특허 인센티브 대폭 반영"
대형 화물차 운전원,장치·기계 조작 및 조립 종사자(8),4215000,1.1,"장거리 운행 위험 수당과 대형 차량 관리 숙련도로 조립원 평균 대비 우대"
리프트 조작원,장치·기계 조작 및 조립 종사자(8),4215000,0.8,"단순 고정형 리프트 기기 기계적 승하강 작동으로 숙련 가치가 낮아 소폭 하향"
건물 청소원,단순노무 종사자(9),2631000,0.8,"고연령 진입이 쉬운 건물 내부 미화원으로 시간제 비율이 높아 평균선 대비 하방"
수산학 연구원,전문가 및 관련종사자(2),5149000,1.1,"해양 자원 및 수산 보존 국책·민간 기업 연구원으로 대분류 평균보다 약간 상위"
요양 보호사,서비스 종사자(4),2285000,1.0,"고령화 수요가 매우 크나 기본 수가 책정 한계로 대분류 서비스직 평균 가치 수렴"
사회복지사,전문가 및 관련종사자(2),5149000,0.7,"법적 사회복지 자격을 소지하나 공공 예산 구조 하의 전형적인 저임금 한계 적용"
유치원 교사,전문가 및 관련종사자(2),5149000,0.8,"정교사 라이선스가 필수적이지만 국공립·사립 등 전반적인 공공 보육 급여체계 준수"
일반 간호사,전문가 및 관련종사자(2),5149000,1.1,"의료 면허와 더불어 높은 교대 근무 피로도가 동반되므로 소폭의 상방 유도"
상담 전문가,전문가 및 관련종사자(2),5149000,0.9,"심리·청소년 상담 직무로 전문 학위 장벽 대비 소득 창출 기회는 평균 이하 수준"
지게차 운전원,장치·기계 조작 및 조립 종사자(8),4215000,1.0,"물류 중심지 내 지게차 장비 면허 보유 및 정밀 작동으로 조작원 평균 수준 합의"
품질 관리 사무원,사무 종사자(3),4942000,1.0,"제품 출하 공정 사양 검사 및 벤치마킹 사무로 정규 사무직 평균선 일치"
웹 프로그래머,전문가 및 관련종사자(2),5149000,1.1,"일반 소프트웨어 코딩 및 웹 애플리케이션 구현 기술로 전문가 평균 소폭 상회"
기업 고위 임원,관리자(1),12563000,1.1,"사내 최고 지배 주주 및 총괄 관리자로 고도의 직무 대가 및 성과 인센티브 수취"
육군 부사관,서비스 종사자(4),2285000,1.1,"직업 군인으로서 위수지역 거주 및 위험 수당, 군 주거 보전 기여분으로 상방 보정"
